Title,Publication Year,Author,Genre,Average Rating,Number of Ratings,Number of Pages,Language,Currently Reading,Want to Read,Rank
The Eighth Detective,2020,Alex Pavesi,Mystery,3.51,18417,304.0,English,1744.0,20700.0,232
I Want to Be Where the Normal People Are,2020,Rachel Bloom,Nonfiction,3.97,15057,288.0,English,446.0,15100.0,233
Imaginary Numbers,2020,Seanan McGuire,Urban Fantasy,4.23,3721,437.0,English,523.0,2707.0,234
Blood Countess,2020,Lana Popović,Historical Fiction,3.46,2806,293.0,English,106.0,14300.0,235
Follow Me,2020,Kathleen Barber,Thriller,3.68,5962,352.0,English,264.0,27300.0,236
Boss Man Bridegroom,2020,Meghan Quinn,Romance,4.34,13953,402.0,English,4663.0,8103.0,237
Chaos Reigning,2020,Jessie Mihalik,Romance,4.04,5906,416.0,N/A,351.0,2469.0,238
Don't Keep Silent,2020,Elizabeth Goddard,Christian Fiction,4.3,933,368.0,English,99.0,2355.0,239
Betty,2020,Tiffany McDaniel,Historical Fiction,4.41,43183,480.0,English,3476.0,139000.0,240
The Undocumented Americans,2020,Karla Cornejo Villavicencio,Nonfiction,4.38,23381,208.0,English,1566.0,56700.0,241
In an Instant,2020,Suzanne Redfearn,Fiction,4.35,98590,326.0,English,40800.0,94300.0,242
Darkmore Penitentiary,2020,Caroline Peckham,Fantasy,4.41,19577,562.0,English,5039.0,27200.0,243
Valentine,2020,Elizabeth Wetmore,Fiction,3.76,42621,320.0,English,4829.0,55100.0,244
Kings of Quarantine,2020,Caroline Peckham,Reverse Harem,4.18,28582,658.0,English,5894.0,36300.0,245
The Burning God,2020,R.F. Kuang,Fantasy,4.3,111430,622.0,English,6683.0,144000.0,246
Wayside School Beneath the Cloud of Doom,2020,Louis Sachar,Middle Grade,4.22,4009,186.0,English,405.0,5872.0,247
Twisted Hearts,2020,Cora Reilly,Romance,3.46,28384,338.0,English,1357.0,20800.0,248
"The Creation of Me, Them and Us",2020,Heather Marsh,Nonfiction,4.67,36,437.0,English,8.0,1183.0,249
"Wow, No Thank You.: Essays",2020,Samantha Irby,Nonfiction,3.82,46417,319.0,English,5170.0,78400.0,250
All Adults Here,2020,Emma Straub,Fiction,3.58,84878,356.0,English,9721.0,103000.0,251
Poison Throne,2020,Jaymin Eve,Romance,4.13,7689,290.0,English,1877.0,2361.0,252
The 20th Victim,2020,James Patterson,Mystery,4.07,32926,432.0,English,11100.0,22400.0,253
The Extraordinaries,2020,T.J. Klune,Fantasy,4.06,23472,405.0,English,1404.0,54900.0,254
Chosen,2020,Kiersten White,Fantasy,3.73,2884,368.0,English,170.0,6616.0,255
Dear Enemy,2020,Kristen Callihan,Romance,3.91,32842,393.0,English,3487.0,34800.0,256
You Were There Too,2020,Colleen Oakley,Romance,3.88,12255,324.0,English,1293.0,22500.0,257
The Exhibition of Persephone Q,2020,Jessi Jezewska Stevens,Fiction,3.37,711,224.0,English,76.0,7378.0,258
